url,Title,Title_link,Authors,Authors_link,US Publisher,Month Read,Month Read,Year Read,Seq,_url_input,Month Published,Year Published,Picked By,Author Gender,Author Birth Country,Author Birth Continent
https://swordandlaser.fandom.com/wiki/Book_List,Gateway,https://swordandlaser.fandom.com/wiki/Gateway,Frederik Pohl,https://www.goodreads.com/author/show/22996.Frederik_Pohl,St. Martin's Press,Mar '17,Mar,2017,94,https://swordandlaser.fandom.com/wiki/Book_List,,1977,Tom,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Salt Roads,https://swordandlaser.fandom.com/wiki/The_Salt_Roads,Nalo Hopkinson,https://www.goodreads.com/author/show/27528.Nalo_Hopkinson,Grand Central Publishing,Feb '17,Feb,2017,93,https://swordandlaser.fandom.com/wiki/Book_List,Nov,2004,Veronica,Female,Jamaica,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Three-Body Problem,https://swordandlaser.fandom.com/wiki/The_Three-Body_Problem,Liu Cixin,https://www.goodreads.com/author/show/5780686.Liu_Cixin,Tor Books,Jan '17,Jan,2017,92,https://swordandlaser.fandom.com/wiki/Book_List,May,2006,Tom,Male,China,Asia
https://swordandlaser.fandom.com/wiki/Book_List,The Rook,https://swordandlaser.fandom.com/wiki/The_Rook,Daniel O'Malley,https://www.goodreads.com/author/show/4730894.Daniel_O_Malley,"Little, Brown and Company",Dec '16,Dec,2016,91,https://swordandlaser.fandom.com/wiki/Book_List,Jan,2012,Veronica,Male,Australia,Oceana
https://swordandlaser.fandom.com/wiki/Book_List,Futuristic Violence and Fancy Suits,https://swordandlaser.fandom.com/wiki/Futuristic_Violence_and_Fancy_Suits,David Wong,https://www.goodreads.com/author/show/225033.David_Wong,Thomas Dunne Books,Nov '16,Nov,2016,90,https://swordandlaser.fandom.com/wiki/Book_List,Oct,2015,Poll,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Golem and the Jinni,https://swordandlaser.fandom.com/wiki/The_Golem_and_the_Jinni,Helene Wecker,https://www.goodreads.com/author/show/6466778.Helene_Wecker,Harper,Oct '16,Oct,2016,89,https://swordandlaser.fandom.com/wiki/Book_List,Apr,2013,Veronica,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,A Fire Upon The Deep,https://swordandlaser.fandom.com/wiki/A_Fire_Upon_The_Deep,Vernor Vinge,https://www.goodreads.com/author/show/44037.Vernor_Vinge,Tor Books,Sep '16,Sep,2016,88,https://swordandlaser.fandom.com/wiki/Book_List,Aug,2010,Tom,Male,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,The Last Wish,https://swordandlaser.fandom.com/wiki/The_Last_Wish,Andrzej Sapkowski,https://www.goodreads.com/author/show/38569.Andrzej_Sapkowski,Gollancz,Aug '16,Aug,2016,87,https://swordandlaser.fandom.com/wiki/Book_List,Jan,1993,Veronica,Male,Poland,Europe
https://swordandlaser.fandom.com/wiki/Book_List,The Time Traders,https://swordandlaser.fandom.com/wiki/The_Time_Traders,Andre Norton,https://www.goodreads.com/author/show/4766.Andre_Norton,World Publishing Co.,Jul '16,Jul,2016,86,https://swordandlaser.fandom.com/wiki/Book_List,Jan,1958,Tom,Female,United States,North America
https://swordandlaser.fandom.com/wiki/Book_List,Updraft,https://swordandlaser.fandom.com/wiki/Updraft,Fran Wilde,https://www.goodreads.com/author/show/5214733.Fran_Wilde,Tor Books,Jun '16,Jun,2016,85,https://swordandlaser.fandom.com/wiki/Book_List,Sep,2015,Veronica,Female,United States,North America
